,Sire,breeding_year
1145,Star Guitar,2021
1146,Mucho Macho Man,2021
1147,Bal a Bali (BRZ),2021
1148,Karakontie (JPN),2021
1149,Big Blue Kitten,2021
1150,Commissioner,2021
1151,Sky Mesa,2021
1152,Tale of the Cat,2021
1153,Shaman Ghost,2021
1154,Get Stormy,2021
1155,Algorithms,2021
1156,Run Away and Hide,2021
1157,Fast Anna,2021
1158,Wicked Strong,2021
1159,Trappe Shot,2021
1160,Fed Biz,2021
1161,Animal Kingdom,2021
1162,Overanalyze,2021
1163,Northern Afleet,2021
1164,Alpha,2021
1165,Tale of Ekati,2021
1166,Verrazano,2021
1167,Uncaptured,2021
1168,Stormy Atlantic,2021
1169,Square Eddie,2021
1170,Warrior's Reward,2021
1171,Can the Man,2021
1172,Strong Mandate,2021
1173,Shanghai Bobby,2021
1174,Silent Name (JPN),2021
1175,War Dancer,2021
1176,We Miss Artie,2021
1177,Mark Valeski,2021
1178,Mshawish,2021
1179,Kobe's Back,2021
1180,Freud,2021
1181,Majestic City,2021
1182,Include,2021
1183,Justin Phillip,2021
1184,Race Day,2021
1185,Daaher,2021
1186,Court Vision,2021
1187,Jack Milton,2021
1188,Bird Song,2021
1189,Afleet Alex,2021
1190,Successful Appeal,2021
1191,Union Jackson,2021
1192,Texas Red,2021
1193,Smarty Jones,2021
1194,Java's War,2021
1195,Oxbow,2021
1196,Big Brown,2021
1197,Wildcat Red,2021
1198,Biogenic,2021
1199,Tom's Ready,2021
1200,Jersey Town,2021
1201,Not Bourbon,2021
1202,Hunters Bay,2021
1203,Too Much Bling,2021
1204,Ironicus,2021
1205,The Big Beast,2021
1206,Greenpointcrusader,2021
1207,Normandy Invasion,2021
1208,Danzing Candy,2021
1209,Perfect Soul (IRE),2021
1210,Flashback,2021
1211,Laoban,2021
1212,War Correspondent,2021
1213,Notional,2021
1214,Secret Circle,2021
1215,Fort Larned,2021
1216,Alternation,2021
1217,Perfect Timber,2021
1218,Paynter,2021
1219,Sky Kingdom,2021
1220,Airoforce,2021
1221,Palace,2021
1222,Treasure Beach (GB),2021
1223,Mo Tom,2021
1224,Divining Rod,2021
1225,Capo Bastone,2021
1226,Revolutionary,2021
1227,Real Solution,2021
1228,Macho Uno,2021
1229,Musketier (GER),2021
1230,American Pharoah,2022
1231,Bernardini,2022
1232,Speightstown,2022
1233,Distorted Humor,2022
1234,Carpe Diem,2022
1235,Tapit,2022
1236,Honor Code,2022
1237,Empire Maker,2022
1238,Kitten's Joy,2022
1239,Declaration of War,2022
1240,More Than Ready,2022
1241,Palace Malice,2022
1242,War Front,2022
1243,Quality Road,2022
1244,Street Sense,2022
1245,Pioneerof the Nile,2022
1246,Into Mischief,2022
1247,Tonalist,2022
1248,Will Take Charge,2022
1249,Medaglia d'Oro,2022
1250,Karakontie (JPN),2022
1251,Uncle Mo,2022
1252,Ghostzapper,2022
1253,Liam's Map,2022
1254,Tiznow,2022
1255,Fed Biz,2022
1256,Constitution,2022
1257,Union Rags,2022
1258,City Zip,2022
1259,Candy Ride (ARG),2022
1260,Flatter,2022
1261,Animal Kingdom,2022
1262,Blame,2022
1263,Super Saver,2022
1264,Curlin,2022
1265,Mineshaft,2022
1266,Hard Spun,2022
1267,Lemon Drop Kid,2022
1268,Shanghai Bobby,2022
1269,Galileo (IRE),2022
1270,Bodemeister,2022
1271,Lea,2022
1272,Munnings,2022
1273,Mucho Macho Man,2022
1274,Malibu Moon,2022
1275,Cairo Prince,2022
1276,Awesome Again,2022
1277,Temple City,2022
1278,Violence,2022
1279,Orb,2022
1280,Noble Mission (GB),2022
1281,Giant's Causeway,2022
1282,Commissioner,2022
1283,Creative Cause,2022
1284,Flat Out,2022
1285,Maclean's Music,2022
1286,Congrats,2022
1287,Street Boss,2022
1288,Cross Traffic,2022
1289,Midnight Lute,2022
1290,Tale of the Cat,2022
1291,Elusive Quality,2022
1292,Frankel (GB),2022
1293,Verrazano,2022
1294,English Channel,2022
1295,Bayern,2022
1296,Mr Speaker,2022
1297,Daredevil,2022
1298,Gleneagles (IRE),2022
1299,Take Charge Indy,2022
1300,Summer Front,2022
1301,Zoffany (IRE),2022
1302,Twirling Candy,2022
1303,Graydar,2022
1304,Tale of Ekati,2022
1305,First Samurai,2022
1306,Include,2022
1307,Paynter,2022
1308,Strong Mandate,2022
1309,Tapiture,2022
1310,Kantharos,2022
1311,Shackleford,2022
1312,Palace,2022
1313,Dialed In,2022
1314,Lookin At Lucky,2022
1315,Competitive Edge,2022
1316,Wicked Strong,2022
1317,Goldencents,2022
1318,Sky Mesa,2022
1319,The Factor,2022
1320,Fort Larned,2022
1321,Point of Entry,2022
1322,Tapizar,2022
1323,Fast Anna,2022
1324,Conquest Curlinate,2022
1325,Midshipman,2022
1326,Revolutionary,2022
1327,Broken Vow,2022
1328,Colonel John,2022
1329,Macho Uno,2022
1330,Secret Circle,2022
1331,Majesticperfection,2022
1332,Mizzen Mast,2022
1333,Stormy Atlantic,2022
1334,Gemologist,2022
1335,Medal Count,2022
1336,Warrior's Reward,2022
1337,Proud Citizen,2022
1338,Algorithms,2022
1339,Danza,2022
1340,Oxbow,2022
1341,Data Link,2022
1342,Jack Milton,2022
1343,Race Day,2022
1344,Get Stormy,2022
1345,Itsmyluckyday,2022
1346,Astrology,2022
1347,Frac Daddy,2022
1348,Run Away and Hide,2022
1349,Jimmy Creed,2022
1350,Justin Phillip,2022
1351,Stay Thirsty,2022
1352,Society's Chairman,2022
1353,Overanalyze,2022
1354,Alternation,2022
1355,Liaison,2022
1356,Magician (IRE),2022
1357,Archarcharch,2022
1358,To Honor and Serve,2022
1359,Shakin It Up,2022
1360,Flashback,2022
1361,Dominus,2022
1362,Sky Kingdom,2022
1363,Atreides,2022
1364,Successful Appeal,2022
1365,Northern Afleet,2022
1366,Afleet Alex,2022
1367,Girolamo,2022
1368,Handsome Mike,2022
1369,Mark Valeski,2022
1370,Istan,2022
1371,Discreet Cat,2022
1372,Trappe Shot,2022
1373,Morning Line,2022
1374,Central Banker,2022
1375,Silver Max,2022
1376,Conveyance,2022
1377,Jersey Town,2022
1378,Mission Impazible,2022
1379,Backtalk,2022
1380,Alpha,2022
1381,Birdstone,2022
1382,Hampton Court (AUS),2022
1383,Custom for Carlos,2022
1384,Big Brown,2022
1385,New Year's Day,2022
1386,Real Solution,2022
1387,Can the Man,2022
1388,Uncaptured,2022
1389,Red Rocks (IRE),2022
1390,Raison d'Etat,2022
1391,First Defence,2022
1392,Aikenite,2022
1393,Japan,2022
1394,Perfect Soul (IRE),2022
1395,Americain,2022
1396,Grey Swallow (IRE),2022
1397,Soldat,2022
1398,Micromanage,2022
1399,Sidney's Candy,2022
1400,Haynesfield,2022
1401,Gio Ponti,2022
1402,He's Had Enough,2022
1403,Giacomo,2022
1404,Line of David,2022
1405,Dunkerque (FR),2022
1406,Mr. Sidney,2022
1407,Majestic City,2022
1408,Tizway,2022
1409,Albertus Maximus,2022
1410,The Big Beast,2022
1411,Revolving,2022
1412,Artie Schiller,2022
1413,Musketier (GER),2022
1414,Caleb's Posse,2022
1415,Stroll,2022
1416,Awesome of Course,2022
1417,Langfuhr,2022
1418,Daaher,2022
1419,Chitu,2022
1420,Normandy Invasion,2022
1421,General Quarters,2022
1422,Seek Again,2022
1423,Holiday Promise,2022
1424,Notional,2022
1425,Snapy Halo (ARG),2022
1426,Hakassan (CHI),2022
1427,Even the Score,2022
1428,Kettle Corn,2022
1429,Power Broker,2022
1430,Awesome Patriot,2022
1431,Paddy O'Prado,2022
1432,Gauntlet,2022
1433,Golden Ticket,2022
1434,Magna Graduate,2022
1435,Blueskiesnrainbows,2022
1436,Smarty Jones,2022
1437,War Command,2022
1438,Daddy Long Legs,2022
1439,Slew's Tiznow,2022
1440,Capo Bastone,2022
1441,Court Vision,2022
1442,I Want Revenge,2022
1443,Bellamy Road,2022
1444,Skipshot,2022
1445,Ready's Image,2022
1446,Grasshopper,2022
1447,Dunkirk,2022
