hip_number,in_out_status,foaling_year,horse_name,color,sex,foaling_date,sire_name,dam_name,sort_dam,dam_sire,property_line_1,property_line_2,consignor_sort,foaling_area,barn_number,buyer_name,hammer_price,post_sale_indicator,outdate,ut_time,ut_distance,ut_actual_date,ut_group,ut_set,pp_pdf_link
288,I,2022,,B,F,05/12/2022,Complexity,Magician's Vanity,608,Street Magician,RiceHorse Stable (Brandon & Ali Rice),,RiceHorse Stable (Brandon & Ali Rice),VA,6,RNA,-70000,,,9.4," 1/8",04/08/2024,2,61,
289,I,2022,,DB/BR,C,03/30/2022,Instilled Regard,Mag's Holiday,609,Harlan's Holiday,"Really and Truly Thoroughbreds, Agent IV",,Really and Truly Thoroughbreds,KY,20,Uptown Charley Brown Stud LLC,60000,Y,,10.0," 1/8",04/08/2024,3,123,
290,O,2022,,B,F,02/08/2022,Justify,Mahkama,610,Bernardini,"Paul Sharp, Agent XIV",,Paul Sharp,PA,C,OUT,,,04/08/2024,,,,,,
291,I,2022,,B,C,02/26/2022,Global Campaign,Maid in Heaven,611,Yes It's True,"Eddie Woods, Agent III",,Eddie Woods,FL,11,"Pedro Lanz, Agent for KAS Stables",650000,,,10.0," 1/8",04/08/2024,1,36,
292,I,2022,,B,F,04/10/2022,Munnings,Majestic Dawn,612,Kitten's Joy,"Kings Equine, Agent X",,Kings Equine,KY,1,RNA,-90000,,,10.1," 1/8",04/08/2024,2,82,
293,I,2022,,DB/BR,F,04/23/2022,Tom's d'Etat,Majestic Fantasy,613,Majestic Warrior,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,LA,J,"Nick J Hines, Agent",22000,Y,,10.0," 1/8",04/08/2024,1,42,
294,I,2022,,DB/BR,C,03/28/2022,McKinzie,Majestique,614,Majestic Warrior,"Top Line Sales LLC, Agent XLVIII",,Top Line Sales LLC,NY,1,Lewis & Roslyn Titterton,90000,,,10.3," 1/8",04/08/2024,3,133,
295,I,2022,,B,F,04/13/2022,Bolt d'Oro,Major Z,615,Candy Ride (ARG),"Eddie Woods, Agent VIII",,Eddie Woods,KY,11,Bregman Family Racing LLC,460000,,,9.4," 1/8",04/08/2024,1,2,
296,O,2022,,CH,F,02/24/2022,Flameaway,Make the Sun Shine,616,Malibu Moon,"Kings Equine, Agent",,Kings Equine,KY,1,OUT,,,04/16/2024,,,,,,
297,I,2022,It's America,CH,C,03/26/2022,Omaha Beach,Malibu June,617,Malibu Moon,"Gene Recio, Agent X",,Gene Recio,KY,17,"Doug O'Neill, Agent",75000,,,10.1," 1/8",04/08/2024,2,83,
298,I,2022,,DB/BR,C,05/05/2022,Spun to Run,Malibu Mudslide,618,Malibu Moon,"L. G., Agent",,L. G.,KY,1,Naohiro Sakaguchi,75000,,,21.0," 1/4",04/08/2024,1,53,
299,I,2022,,CH,C,04/03/2022,Omaha Beach,Malibu Party,619,Hard Spun,"Omar Ramirez Bloodstock, Agent III",,Omar Ramirez Bloodstock,KY,17,Marc Tacher,250000,,,20.4," 1/4",04/08/2024,2,73,
300,O,2022,Lightning Mama,B,F,03/25/2022,Bolt d'Oro,Mama Knows Best,620,Sky Mesa,"G. Martinez Training, Agent I",,G. Martinez Training,NY,16,OUT,,,04/16/2024,,,,,,
301,O,2022,,B,F,03/01/2022,Bernardini,Mambo Bell,621,Kingmambo,"Lucan Bloodstock (Karl Keegan), Agent VII",,Lucan Bloodstock (Karl Keegan),KY,18,OUT,,,04/16/2024,,,,,,
302,I,2022,,B,C,02/26/2022,Not This Time,Mamma Kimbo,622,Discreet Cat,"de Meric Sales, Agent VIII",,de Meric Sales,KY,12,D. J. Stable LLC,380000,,,10.1," 1/8",04/08/2024,1,18,
303,O,2022,Hooray for Me,DB/BR,C,04/08/2022,Hard Spun,Mane Attraction,623,Munnings,"Tom McCrocklin, Agent XXV",,Tom McCrocklin,FL,18,OUT,,,04/08/2024,,,,,,
304,I,2022,,DB/BR,C,03/02/2022,Malibu Moon,Mare and Cher,624,Old Fashioned,"Scanlon Training & Sales, Agent XI",,Scanlon Training & Sales,KY,10,"Pierre Amestoy, Leslie Amestoy, Dr. Paul Jenson",125000,,,10.1," 1/8",04/08/2024,1,24,
305,O,2022,,DB/BR,C,03/25/2022,Justify,Maria's Candy,625,Candy Ride (ARG),"Hoppel LLC, Agent XI",,Hoppel LLC,NY,7,OUT,,,04/08/2024,,,,,,
306,I,2022,,GR/RO,F,03/29/2022,Win Win Win,Marion Theatre,626,Montbrook,Ocala Stud,,Ocala Stud,FL,4,"Don Mensh, E. Plesa, Agent",27000,,,21.1," 1/4",04/08/2024,1,11,
307,I,2022,,CH,F,03/13/2022,Jimmy Creed,Seattle Sass,914,Chief Seattle,"Mayberry Farm, Agent",,Mayberry Farm,KY,B,"Sabres Racing, OMB Stables, Franklin Ave Equine",67000,,,10.0," 1/8",04/08/2024,1,8,
308,I,2022,,B,F,03/09/2022,Omaha Beach,Marla,627,Frosted,"Omar Ramirez Bloodstock, Agent III",,Omar Ramirez Bloodstock,KY,17,"Alabdullatif Bloodstock, Agent for SBA Racing",150000,,,9.3," 1/8",04/08/2024,1,13,
309,I,2022,,B,F,03/22/2022,Global Campaign,Marrakesh Express,628,Union Rags,"Omar Ramirez Bloodstock, Agent XVI",,Omar Ramirez Bloodstock,KY,17,RNA,-55000,,,10.2," 1/8",04/08/2024,3,128,
310,I,2022,,B,C,05/27/2022,Volatile,Martini,629,Yes It's True,"Eddie Woods, Agent VIII",,Eddie Woods,KY,11,H & E Ranch,20000,,,10.2," 1/8",04/08/2024,3,113,
311,O,2022,,GR/RO,F,04/15/2022,Volatile,Marvelous Spot,630,Archarcharch,"Blazing Meadows Farm LLC, Agent",,Blazing Meadows Farm LLC,KY,17,OUT,,,04/17/2024,,,,,,
312,I,2022,,CH,C,04/10/2022,First Samurai,May,631,Ghostzapper,"Harris Training Center LLC, Agent V",,Harris Training Center LLC,KY,13,LBB Stables LLC,45000,,,10.0," 1/8",04/08/2024,2,102,
313,I,2022,,DB/BR,F,01/13/2022,Speightstown,Maybe Wicked,632,Mizzen Mast,"Global Thoroughbreds LLC, Agent I",,Global Thoroughbreds LLC,KY,15,RNA,-35000,,,10.0," 1/8",04/08/2024,2,76,
314,I,2022,,B,C,01/20/2022,Instilled Regard,Meadow Dance,633,Jimmy Creed,"Majestic, Agent III",,Majestic,KY,13,Happy Tenth Stable,55000,Y,,21.3," 1/4",04/08/2024,1,3,
315,I,2022,,DB/BR,C,04/26/2022,Flameaway,Meadow Saffron,634,Military,"Julie Davies LLC, Agent XXI",,Julie Davies LLC,KY,7,Harmash Racing,120000,,,9.4," 1/8",04/08/2024,2,75,
316,I,2022,Jimmy B,B,C,05/07/2022,More Than Ready,Meet and Greet,635,Tribal Rule,"Marcial Galan, Agent",,Marcial Galan,KY,20,RNA,-65000,,,10.0," 1/8",04/08/2024,1,33,
317,O,2022,,DB/BR,C,03/04/2022,Spun to Run,Megara,636,Take Charge Indy,"All Dreams Equine, Agent",,All Dreams Equine,KY,20,OUT,,,03/27/2024,,,,,,
318,O,2022,,B,F,04/08/2022,Uncle Mo,Melody's Spirit,637,Scat Daddy,"Envision Equine, Agent",,Envision Equine,KY,A,OUT,,,04/06/2024,,,,,,
319,O,2022,,CH,C,02/08/2022,Gift Box,Merci Beaucoup,638,Giant's Causeway,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXV",,Wavertree Stables,KY,5,OUT,,,04/17/2024,,,,,,
320,I,2022,,B,C,04/27/2022,American Pharoah,Mercilla,639,Arch,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XII",,Wavertree Stables,KY,5,RNA,-70000,,,10.3," 1/8",04/08/2024,3,127,
321,I,2022,,B,C,03/16/2022,War of Will,Mermaid of Honor,640,Majestic Warrior,"Harris Training Center LLC, Agent I",,Harris Training Center LLC,KY,13,RNA,-27000,,,10.2," 1/8",04/08/2024,2,54,
322,O,2022,,GR/RO,C,04/30/2022,Tapit,Metmeyer,641,Drosselmeyer,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",,Hartley / DeRenzo Thoroughbreds LLC,KY,5,OUT,,,04/08/2024,,,,,,
323,I,2022,,DB/BR,C,04/24/2022,Tom's d'Etat,Mgr Treasure,642,Overanalyze,"Little Farm Equine LLC, Agent I",,Little Farm Equine LLC,NY,15,RNA,-14000,,,10.2," 1/8",04/08/2024,1,21,
324,I,2022,,DB/BR,F,05/08/2022,More Than Ready,Midnight Bliss,643,Midnight Lute,"Randy Miles, Agent V",,Randy Miles,PA,19,Calumet Farm,100000,,,10.0," 1/8",04/08/2024,2,58,
325,I,2022,Candy Girlie,B,F,02/28/2022,Girvin,Midnight Candy,644,Midnight Lute,"Ocala Stud, Agent",,Ocala Stud,FL,4,S.R.O.A (KOID),27000,,,22.0," 1/4",04/08/2024,2,77,
326,O,2022,,B,C,04/18/2022,Candy Ride (ARG),Mighty Eros,645,Freud,"Majestic, Agent VI",,Majestic,KY,13,OUT,,,04/08/2024,,,,,,
327,I,2022,Thomas Magnum,B,C,03/23/2022,Sky Mesa,Mighty Good,646,Good and Tough,"de Meric Sales, Agent XXXIV",,de Meric Sales,NY,12,S.R.O.A (KOID),25000,,,10.3," 1/8",04/08/2024,3,125,
328,I,2022,,CH,F,02/23/2022,Gun Runner,Mighty Moon,647,Malibu Moon,"de Meric Sales, Agent XII",,de Meric Sales,KY,12,Calumet Farm,200000,Y,,10.1," 1/8",04/08/2024,2,70,
329,O,2022,,GR/RO,C,05/04/2022,Candy Ride (ARG),Mims Eppi,648,Cactus Ridge,"Top Line Sales LLC, Agent XLII",,Top Line Sales LLC,KY,1,OUT,,,04/06/2024,,,,,,
330,O,2022,Sand Devil,CH,C,02/15/2022,Violence,Mineralogist,649,Mineshaft,"Sequel Bloodstock, Agent for Chester & Mary Broman",,Sequel Bloodstock,NY,9,OUT,,,04/08/2024,,,,,,
331,I,2022,,CH,C,04/02/2022,Munnings,Minewander,650,Mineshaft,"Gene Recio, Agent VII",,Gene Recio,KY,17,Naif Almasoud for Abdulrahman Alsayed,200000,,,10.1," 1/8",04/08/2024,1,46,
332,O,2022,,CH,C,02/16/2022,Clearly Now,Minit to Stardom,651,Star Guitar,"Centofanti Thoroughbreds, Agent IV",,Centofanti Thoroughbreds,KY,16,OUT,,,04/08/2024,,,,,,
333,I,2022,,DB/BR,C,04/20/2022,Midshipman,Min It to Win It,652,Big Drama,"Ortiz Training Stable LLC, Agent II",,Ortiz Training Stable LLC,KY,B,RNA,-17000,,,21.1," 1/4",04/08/2024,2,64,
334,O,2022,,B,C,05/20/2022,Authentic,Minks Aprise,653,Northern Afleet,"Top Line Sales LLC, Agent XLII",,Top Line Sales LLC,KY,1,OUT,,,04/17/2024,,,,,,
335,I,2022,,GR/RO,F,03/30/2022,Mitole,Mischief Galore,654,Into Mischief,Hartley / DeRenzo Thoroughbreds LLC,,Hartley / DeRenzo Thoroughbreds LLC,KY,5,RNA,-300000,,,9.3," 1/8",04/08/2024,1,29,
336,O,2022,,B,C,02/19/2022,Maximum Security,Mischievious Lass,655,Into Mischief,"Parrish Farms, Agent",,Parrish Farms,KY,14,OUT,,,04/01/2024,,,,,,
337,I,2022,,DB/BR,C,03/13/2022,Tom's d'Etat,Mischievous Maude,656,Into Mischief,A B Thoroughbreds,,A B Thoroughbreds,KY,H,RNA,-29000,,,10.1," 1/8",04/08/2024,2,89,
338,O,2022,,DB/BR,F,02/02/2022,Munnings,Miss Affare d'Oro,657,Medaglia d'Oro,"JVC Training and Sales, Agent",,JVC Training and Sales,KY,16,OUT,,,04/17/2024,,,,,,
339,I,2022,Harbe,CH,C,03/23/2022,Maclean's Music,Miss Ann Perry,658,Afleet Alex,"Equinox, Inc., Agent",,Equinox  Inc.,KY,16,Rohan Crichton,150000,,,10.0," 1/8",04/08/2024,3,104,
340,I,2022,,GR/RO,C,03/19/2022,Liam's Map,Miss Avalon,659,Jump Start,"Royal Bloodstock Sales LLC, Agent IV",,Royal Bloodstock Sales LLC,MD,14,D. J. Stable LLC,110000,,,9.4," 1/8",04/08/2024,2,68,
341,O,2022,,B,C,04/23/2022,Mo Town,Miss Centerfold,660,Tiznow,"Randy Miles, Agent VI",,Randy Miles,NY,19,OUT,,,04/08/2024,,,,,,
342,I,2022,,B,C,02/13/2022,Nyquist,Miss Hetty,661,Congrats,"Wavertree Stables, Inc. (Ciaran Dunne), Agent II",,Wavertree Stables,KY,5,Donato Lanni for Frank Fletcher Racing Operations,675000,,,10.0," 1/8",04/08/2024,1,6,
343,O,2022,,B,C,04/08/2022,Tom's d'Etat,Missiletoe Kiss,662,Golden Missile,Little Farm Equine LLC,,Little Farm Equine LLC,NY,15,OUT,,,04/08/2024,,,,,,
344,I,2022,My Pal Max,B,C,03/29/2022,Good Samaritan,Mississippi Mist,663,Maclean's Music,"Eddie Woods, Agent II",,Eddie Woods,KY,11,Gary Ellebracht,7000,,,10.1," 1/8",04/08/2024,3,131,
345,O,2022,,DB/BR,C,05/03/2022,War of Will,Miss Luna,664,Henny Hughes,"Gene Recio, Agent II",,Gene Recio,KY,17,OUT,,,04/11/2024,,,,,,
346,I,2022,,B,C,03/25/2022,Frosted,Miss Malibu,665,Into Mischief,"Global Thoroughbreds LLC, Agent II",,Global Thoroughbreds LLC,KY,15,"North Hills Co., Ltd.",100000,,,10.0," 1/8",04/09/2024,3,120,
347,O,2022,,CH,F,02/09/2022,Echo Town,Miss Malice,666,Palace Malice,"Caliente Thoroughbreds, Agent",,Caliente Thoroughbreds,KY,E,OUT,,,04/09/2024,,,,,,
348,I,2022,,B,C,03/29/2022,War of Will,Miss Matzoball,667,Smoke Glacken,"Sequel Bloodstock, Agent I",,Sequel Bloodstock,LA,9,H & E Ranch,55000,,,10.3," 1/8",04/09/2024,3,132,
349,I,2022,,CH,C,03/26/2022,Maclean's Music,Miss Patchouli,668,Bernardini,"S B M Training and Sales, Agent XV",,S B M Training and Sales,KY,2,RNA,-55000,,,10.1," 1/8",04/09/2024,3,133,
350,I,2022,,CH,F,03/12/2022,Authentic,Miss Patricia,669,Indian Charlie,"Global Thoroughbreds LLC, Agent VII",,Global Thoroughbreds LLC,KY,15,"Wellbourne Thoroughbred Investements, LLC",130000,,,10.0," 1/8",04/09/2024,1,53,
351,I,2022,,GR/RO,C,02/27/2022,Bolt d'Oro,Miss Pippa,670,Master Command,"Tom McCrocklin, Agent XV",,Tom McCrocklin,KY,18,Three Amigos,800000,,,20.3," 1/4",04/09/2024,1,30,
352,I,2022,,GR/RO,C,03/25/2022,Liam's Map,Miss Sammy,671,Tale of Ekati,"Paul Sharp, Agent VII",,Paul Sharp,KY,C,Bill Williams,20000,,,10.2," 1/8",04/09/2024,2,63,
353,I,2022,,DB/BR,F,04/27/2022,Medaglia d'Oro,Miss Southern Miss,672,More Than Ready,"de Meric Sales, Agent III",,de Meric Sales,KY,12,D. J. Stable LLC,385000,,,10.0," 1/8",04/09/2024,1,22,
354,I,2022,,GR/RO,F,05/20/2022,Liam's Map,Miss Sprightly,673,Mr. Greeley,"Grade One Investments LLC, Agent I",,Grade One Investments LLC,KY,14,Ball 4 Group,125000,,,10.0," 1/8",04/09/2024,1,50,
355,O,2022,,DB/BR,C,04/12/2022,Instilled Regard,Mis Vizcaya,674,Successful Appeal,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXV",,Wavertree Stables,KY,5,OUT,,,04/10/2024,,,,,,
356,O,2022,,B,F,04/16/2022,Game Winner,Miz Kella,675,Harlan's Holiday,"de Meric Sales, Agent XII",,de Meric Sales,KY,12,OUT,,,04/09/2024,,,,,,
357,I,2022,,GR/RO,C,03/22/2022,Union Rags,Mizzen Moon,676,Mizzen Mast,"Randy Bradshaw, Agent V",,Randy Bradshaw,KY,3,"Donna & Dan Hurtak, Agents for Joseph G. Bucci",62000,,,10.0," 1/8",04/09/2024,3,119,
358,I,2022,Mo Plex,B,C,01/20/2022,Complexity,Mo Joy,677,Uncle Mo,"Hoppel LLC, Agent VII",,Hoppel LLC,NY,7,"JCE Racing, Legion Bloodstock, Agent",45000,,,21.1," 1/4",04/09/2024,2,107,
359,O,2022,,CH,C,03/18/2022,Union Rags,Money Never Sleeps,679,Munnings,"Wildheart Thoroughbreds LLC, Agent I",,Wildheart Thoroughbreds LLC,KY,E,OUT,,,04/13/2024,,,,,,
360,I,2022,,B,F,03/09/2022,Quality Road,Monkeys Uncle,680,Uncle Mo,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VIII",,Wavertree Stables,KY,5,"Bow River Ranch, Hoby Kight, Agent",75000,,,10.0," 1/8",04/09/2024,2,90,
361,O,2022,,DB/BR,F,03/27/2022,McKinzie,Montana Native,681,Yes It's True,"Thorostock LLC, Agent",,Thorostock LLC,KY,H,OUT,,,04/09/2024,,,,,,
362,I,2022,Astin Style,DB/BR,C,04/29/2022,Girvin,Monty's Smile,682,Itsmyluckyday,"Six K's Training & Sales LLC, Agent I",,Six K's Training & Sales LLC,FL,20,"Glassman Racing, Leon Ellman, Laurie Plesa",150000,,,10.1," 1/8",04/09/2024,1,34,
363,O,2022,,DB/BR,C,04/29/2022,Shancelot,Moon Date,683,Malibu Moon,Rebel Horse Ventures LLC,,Rebel Horse Ventures LLC,OH,13,OUT,,,04/16/2024,,,,,,
364,I,2022,,DB/BR,F,02/14/2022,Instagrand,Moon Legacy,684,Malibu Moon,"Silvestre Chavez Thoroughbreds, Agent XVI",,Silvestre Chavez Thoroughbreds,KY,17,John Fox,35000,,,10.2," 1/8",04/09/2024,1,20,
365,I,2022,,B,F,03/15/2022,Tiz the Law,Moonlight Sky,685,Sky Mesa,"Tom McCrocklin, Agent VIII",,Tom McCrocklin,KY,18,"Donato Lanni, Agent for Michael Lund Petersen",1900000,,,20.1," 1/4",04/09/2024,2,57,
366,I,2022,,DB/BR,C,03/22/2022,Spun to Run,Moonlit Bayou,686,Mr. Greeley,"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,LA,J,Scott Gelner,60000,,,10.1," 1/8",04/09/2024,1,23,
367,I,2022,,B,C,02/17/2022,Jimmy Creed,Moon Vision,687,Pollard's Vision,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,MD,J,"West Point Thoroughbreds, Inc., L.E.B., Agent",115000,,,10.0," 1/8",04/09/2024,2,83,
368,I,2022,,CH,C,04/03/2022,Authentic,Moral Reasoning,688,More Than Ready,"Tom McCrocklin, Agent XXVII",,Tom McCrocklin,KY,18,"Barry Dolan, Agent for Dan Eubanks",27000,,,21.4," 1/4",04/09/2024,3,130,
369,O,2022,,B,F,02/17/2022,McKinzie,More Chocolate,689,Malibu Moon,"Eddie Woods, Agent VI",,Eddie Woods,KY,11,OUT,,,04/12/2024,,,,,,
370,I,2022,,B,C,03/25/2022,Lookin At Lucky,More Hoping,690,North Light (IRE),"Randy Miles, Agent XV",,Randy Miles,KY,19,John P. Warren,40000,,,10.3," 1/8",04/09/2024,3,138,
371,I,2022,,B,C,02/07/2022,American Pharoah,More Roses,691,Uncle Mo,"de Meric Sales, Agent XVIII",,de Meric Sales,KY,12,Donato Lanni for Frank Fletcher Racing Operations,925000,,,10.0," 1/8",04/09/2024,1,36,
372,I,2022,,B,F,01/26/2022,St Patrick's Day,Mo Than Happy,692,Uncle Mo,Sweet River Thoroughbreds,,Sweet River Thoroughbreds,FL,E,Blu Boy Racing Stable LLC,40000,,,9.4," 1/8",04/09/2024,2,68,
373,I,2022,Too Enticing,DB/BR,C,03/30/2022,Enticed,Mother's Milk,693,Silver Deputy,"Triple J Equine Sales, Agent III",,Triple J Equine Sales,CA,D,Suliman Bloodstock,25000,,,10.1," 1/8",04/09/2024,3,123,
374,I,2022,,B,C,03/19/2022,Practical Joke,Motown Girl,694,Uncle Mo,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",,Wavertree Stables,KY,5,RRR Racing,275000,,,10.0," 1/8",04/09/2024,1,7,
375,O,2022,Making Mischief,B,F,02/22/2022,Maximus Mischief,Mount Nevis,695,Empire Maker,"Harris Training Center LLC, Agent VIII",,Harris Training Center LLC,KY,13,OUT,,,04/16/2024,,,,,,
376,O,2022,,DB/BR,F,02/13/2022,Global Campaign,Mrs. Awesome,70,Awesome Again,All Dreams Equine,,All Dreams Equine,KY,20,OUT,,,03/27/2024,,,,,,
377,O,2022,,CH,F,02/14/2022,Hard Spun,Mrs. Rosa,861,Mr. Greeley,"de Meric Sales, Agent XL",,de Meric Sales,KY,12,OUT,,,04/09/2024,,,,,,
378,I,2022,,B,C,04/12/2022,Khozan,Ms Bernadette,696,Bernardini,"Navas Equine, Agent IV",,Navas Equine,FL,15,"Alabdullatif Bloodstock, Agent",160000,,,10.0," 1/8",04/09/2024,2,89,
379,I,2022,,B,C,03/19/2022,Vekoma,Ms Delfy,697,Dixie Union,"Kings Equine, Agent V",,Kings Equine,KY,1,RNA,-100000,,,10.0," 1/8",04/09/2024,2,100,
380,I,2022,,DB/BR,C,03/18/2022,Dialed In,Munhall Miss,698,Notional,"Majestic, Agent V",,Majestic,KY,13,"Marquee Bloodstock, Agent",170000,,,10.0," 1/8",04/09/2024,1,12,
381,I,2022,,DB/BR,C,01/24/2022,Authentic,Munnings' Finest,699,Munnings,"Top Line Sales LLC, Agent XXXV",,Top Line Sales LLC,LA,1,Glockenburg LLC,65000,Y,,10.0," 1/8",04/09/2024,1,45,
382,I,2022,,CH,C,04/30/2022,Thousand Words,Music Thunder,700,Distorted Humor,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,TX,J,Chestnut Hill Stable LLC,14000,Y,,10.3," 1/8",04/09/2024,2,93,
383,I,2022,,B,F,04/06/2022,Practical Joke,My Aunt Mo,701,Uncle Mo,"Golden Rock Thoroughbreds, Agent XVI",,Golden Rock Thoroughbreds,KY,14,"Joe Sharp, Agt",50000,Y,,10.1," 1/8",04/09/2024,1,26,
384,O,2022,,GR/RO,C,03/14/2022,Frosted,My Best Ten,702,Hard Spun,"Tradewinds Farm, Agent III",,Tradewinds Farm,FL,15,OUT,,,04/06/2024,,,,,,
385,I,2022,,DB/BR,C,02/25/2022,Take Charge Indy,My Ekati Cat,703,Tale of Ekati,"Scanlon Training & Sales, Agent XVII",,Scanlon Training & Sales,KY,10,Harry Rosenblum,41000,Y,,10.0," 1/8",04/09/2024,2,106,
386,I,2022,,B,C,04/18/2022,Speightster,My Happy Girl,704,American Pharoah,"Hartley / DeRenzo Thoroughbreds LLC, Agent",,Hartley / DeRenzo Thoroughbreds LLC,KY,5,"K.O.I.D. Co., Ltd.",85000,,,10.1," 1/8",04/09/2024,2,109,
387,O,2022,,DB/BR,C,03/27/2022,Maclean's Music,My Happy Place,705,Tapit,"Scanlon Training & Sales, Agent IV",,Scanlon Training & Sales,KY,10,OUT,,,04/06/2024,,,,,,
388,I,2022,,B,F,05/10/2022,Practical Joke,My Kinda Devil,706,Lemon Drop Kid,"McKathan Bros. Sales, Agent II",,McKathan Bros. Sales,KY,6,RNA,-95000,,,10.2," 1/8",04/09/2024,2,86,
389,I,2022,,DB/BR,C,04/01/2022,Game Winner,My Lady Munnings,707,Munnings,"Julie Davies LLC, Agent XXIV",,Julie Davies LLC,KY,7,Marc Tacher,260000,,,9.4," 1/8",04/09/2024,1,8,
390,I,2022,,B,F,05/18/2022,American Pharoah,My Miss Chiff,708,Into Mischief,"de Meric Sales, Agent XIX",,de Meric Sales,KY,12,"Anthony Foglia, Jeff Zook, Agent",25000,,,10.3," 1/8",04/09/2024,2,103,
391,I,2022,,DB/BR,C,03/04/2022,Maximus Mischief,Mynameismoney,709,Midnight Lute,"McKathan Bros. Sales, Agent II",,McKathan Bros. Sales,KY,6,"Jeffrey Bloom, Agent for HRH Prince Saud Al-Faisal",125000,,,10.0," 1/8",04/09/2024,1,13,
392,I,2022,,B,F,04/14/2022,Khozan,My Princess Dawn,710,Master Command,Shanbally Acres,,Shanbally Acres,FL,3,"Mike Pender, Agent",57000,,,9.4," 1/8",04/09/2024,2,65,
393,I,2022,,DB/BR,F,04/13/2022,Echo Town,My Saving Grace,711,Super Saver,"S B M Training and Sales, Agent VI",,S B M Training and Sales,KY,2,RNA,-30000,,,10.1," 1/8",04/09/2024,2,82,
394,I,2022,,DB/BR,C,03/14/2022,Street Boss,My Sparkling Arch,712,Arch,"Tradewinds Farm, Agent I",,Tradewinds Farm,KY,15,"Cerasus Thoroughbreds LLC, Franklin Ave Eq. Agt",50000,Y,,10.2," 1/8",04/09/2024,1,21,
395,O,2022,,CH,F,05/13/2022,Omaha Beach,Mystra,713,Lemon Drop Kid,"New Horizons Bloodstock LLC, Agent IV",,New Horizons Bloodstock LLC,KY,15,OUT,,,04/17/2024,,,,,,
396,O,2022,,B,F,02/21/2022,Promises Fulfilled,My Sunday Best,714,Flatter,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",,Wavertree Stables,FL,5,OUT,,,04/09/2024,,,,,,
397,O,2022,,B,C,01/14/2022,Dak Attack,My Sweet Dani Girl,715,Scat Daddy,Ocala Stud,,Ocala Stud,FL,4,OUT,,,04/09/2024,,,,,,
398,I,2022,,CH,C,01/13/2022,Echo Town,My Tempo,716,Declaration of War,"Envision Equine, Agent",,Envision Equine,KY,A,S.R.O.A (KOID),55000,,,10.1," 1/8",04/09/2024,2,73,
399,I,2022,,CH,F,02/16/2022,Hard Spun,Mythologist,717,Gemologist,"Six K's Training & Sales LLC, Agent III",,Six K's Training & Sales LLC,KY,20,RNA,-50000,,,10.2," 1/8",04/09/2024,3,128,
400,I,2022,,GR/RO,C,03/08/2022,Tapit,My Wandy's Girl,718,Flower Alley,"Eddie Woods, Agent XXV",,Eddie Woods,KY,11,"D. J. Stable LLC & West Point Thoroughbreds, Inc.",300000,,,21.0," 1/4",04/09/2024,1,3,
401,I,2022,,DB/BR,F,04/20/2022,Caracaro,Naked Bootleg,719,Pass Rush,Thorostock LLC,,Thorostock LLC,KY,H,"Fergus Galvin, Agent",225000,,,10.0," 1/8",04/09/2024,1,39,
402,I,2022,,B,C,03/04/2022,Instagrand,Nancy G.,720,Fusaichi Pegasus,"Cruzin' Thoroughbreds LLC, Agent",,Cruzin' Thoroughbreds LLC,PA,16,John Fanelli,85000,,,10.0," 1/8",04/09/2024,1,52,
403,I,2022,,CH,C,02/08/2022,Curlin,Naples Lady,721,Ghostzapper,"Harris Training Center LLC, Agent IX",,Harris Training Center LLC,KY,13,"McMahon and Hill Bloodstock, Agent",170000,,,10.0," 1/8",04/09/2024,2,81,
404,I,2022,,GR/RO,C,02/18/2022,Mitole,Nashoba's Candy,722,Candy Ride (ARG),Triple J Equine Sales,,Triple J Equine Sales,KY,D,High Point Bloodstock,60000,Y,,20.4," 1/4",04/09/2024,1,32,
405,I,2022,,B,C,05/03/2022,Bernardini,Nasq,723,Malibu Moon,"Davis Breaking and Training, Inc., Agent I",,Davis Breaking and Training  Inc.,KY,8,"Tri Star Farm, LLC",25000,Y,,10.2," 1/8",04/09/2024,2,95,
406,I,2022,,DB/BR,F,05/08/2022,Medaglia d'Oro,Nasreddine,724,Nyquist,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXVI",,Wavertree Stables,KY,5,Carson McCord,365000,,,10.0," 1/8",04/09/2024,2,64,
407,I,2022,,B,C,01/29/2022,Bernardini,Negligee,725,Northern Afleet,"Envision Equine, Agent",,Envision Equine,KY,A,"Mike Ryan, Agent",335000,,,9.4," 1/8",04/09/2024,1,19,
408,I,2022,,B,F,05/01/2022,Tapit,Nemoralia,726,More Than Ready,"de Meric Sales, Agent XLII",,de Meric Sales,KY,12,Katierich Stables LLC,325000,,,10.0," 1/8",04/09/2024,1,46,
